university,frequency
RMIT University Vietnam,2093
RMIT University,335
British University Vietnam,272
Fulbright University Vietnam,248
Swinburne University of Technology,229
VinUniversity,224
Staffordshire University,89
Hanoi-Amsterdam High School for the Gifted,41
Tran Dai Nghia Specialized High School,37
VNU-HCM High School for the Gifted,31
Foreign Language Specialized School,31
"Le Hong Phong High School For The Gifted, HCMC, Vietnam",27
University of Staffordshire,24
Foreign Trade University,22
Chu Van An National High School,21
Tran Phu Gifted High School,20
Quốc Học – Huế High School for the Gifted,16
"Nguyen Thi Minh Khai High School, HCM",14
University of Technology Sydney,13
Vietnam Australia International School,13
"High School for Gifted Students, Hanoi National University of Education",12
University Of Economics Ho Chi Minh City,12
The Asian International School,10
Nguyen Hue High School for the Gifted,10
National Economics University (NEU) Vietnam,9
University of Greenwich,9
International University - VNU HCMC,8
Cornell University,8
University of London,8
UNIVERSITY OF SOCIAL SCIENCES AND HUMANITIES (USSH),8
Harvard Business School Online,7
VNUHCM - University of Science,7
University of Melbourne,7
Le Quy Don High School for the Gifted,7
Monash University,7
"High School for Gifted Students, Hanoi University of Science, Vietnam National University",7
Le Quy Don High School for the Gifted-Danang,7
Vinschool,7
Nanyang Technological University Singapore,7
"Vietnam National University, Hanoi",7
Kim Lien High School,6
British Vietnamese International School Hanoi,6
Le Hong Phong High School for the Gifted - Nam Dinh,6
"American International School, Vietnam",6
National University of Singapore,6
Singapore International School (SIS),6
Western Sydney University,6
Canadian International School System,6
Wellspring International Bilingual School,6
National Economics University (Vietnam),6
Lam Sơn High School for the Gifted,6
Humber College,5
Pohang University of Science and Technology,5
Diplomatic Academy of Vietnam,5
Tran Hung Dao Gifted High School,5
Seoul National University,5
British Vietnamese International School,5
Yen Hoa High School,5
Saigon International College,5
Gia Dinh High School for the Gifted,5
George Brown College,5
Seattle Central College,5
Columbia International College,5
University of Sydney,5
Deakin University,5
Bard College,5
Phan Chau Trinh High School of Danang,5
La Trobe University,5
Ton Duc Thang University,5
Vietnam Logistics Research and Development Institute,5
University of Toronto,5
"High School for Gifted Students, Hanoi University of Education",5
ACCA,5
FPT University,4
Arena Multimedia,4
Bach Khoa University (fomerly Ho Chi Minh City University of Technology),4
Monash College,4
Viet Duc Highschool,4
Nguyen Trai High School For The Gifted,4
British Vietnamese International School Ho Chi Minh City,4
Singapore Institute of Management,4
Marie Curie Hanoi School,4
Bunker Hill CC,4
FPT High School,4
Hung Vuong High School for the Gifted,4
"Nguyen Thuong Hien High School For The Gifted, HCMC, Vietnam",4
Coursera,4
Orange Coast College,4
University of Manitoba,4
Nyenrode Business University,4
University of Waterloo,4
UNSW,4
The Hong Kong University of Science and Technology,4
Phan Boi Chau High School for the gifted,3
UEF - Ho Chi Minh City University of Economics and Finance,3
Mizzou K-12 Online/MU High School,3
Ho Chi Minh City University of Law (ULAW),3
Quang Trung High School For The Gifted,3
Suffolk University,3
"Australian International School, Vietnam",3
